postal_code,type_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
1020,0,-0.6587094846985719,0.0,0,-0.01054491940877059,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,0,1
1050,0,0.32958194200678226,0.0,0,0.043304897693945056,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,1,1
9000,1,-0.6587094846985719,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.25765177799522077,2,1
2250,1,0.8911111617257335,0.0,0,-0.4413434562304958,-0.20286546267070638,0.8114521550167951,0,0.08104235172692453,1,1
2400,1,0.28465960442926613,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.08348740056698412,0,1
9120,1,1.4301792126559265,0.0,1,-0.4413434562304958,-0.20286546267070638,1.5112886035325672,0,0.3263547301471217,0,1
9690,1,-0.7934764974311201,0.0,0,-0.4413434562304958,-0.20286546267070638,0.8114521550167951,0,-0.18724490201359317,0,1
1150,0,0.10497025411920174,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,2,1
9040,1,0.7226523958100481,0.0,0,0.6356528858238172,-0.20286546267070638,-1.2880571905305216,0,-0.2354180276852331,0,1
9270,1,3.081075118629643,0.0,0,-0.4413434562304958,-0.20286546267070638,1.5112886035325672,0,1.8063813757819667,0,4
4030,1,-0.19825552452903192,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.2331946526542343,0,1
2018,0,0.29589018882364515,0.0,0,0.5279532516183859,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,2,4
1060,1,-0.06348851179648361,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,0,2
1190,0,-1.0068576009243217,0.0,0,-0.01054491940877059,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,0
8300,0,-0.8833211725861524,0.0,0,-0.4413434562304958,-0.20286546267070638,0.8114521550167951,0,-0.29841365356353144,1,1
8610,1,1.0258781744582817,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,0.00989435073496404,1,1
2100,0,-0.6250177315154348,0.0,0,-0.3336438220250645,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,4,1
2500,0,-0.40040604362785437,0.0,0,1.7126492278781302,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,4,1
2018,0,0.32958194200678226,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,4,1
2910,1,0.8237276553594594,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,0.04028047615861383,0,1
3700,1,-0.3105613684728222,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,0.012858850776295727,0,1
4500,1,-0.11964143376837874,0.0,0,0.36640380031023895,0.10811299959033732,1.5112886035325672,0,-0.025679649761016207,1,0
4480,1,-0.19825552452903192,0.0,0,1.0126016055428269,-0.15103571896053242,0.1116157065010229,0,-0.18724490201359317,0,1
8400,0,-0.20948610892341094,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,1
9120,0,-1.1191634448681118,0.0,0,-0.06439473651148624,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,1,1
4040,1,-0.4228672124166124,0.0,0,0.09715471479666071,-0.20286546267070638,0.8114521550167951,0,-0.2524639029228903,0,1
4460,1,0.4418877859505725,0.0,0,1.1741510568509737,0.21177248701068524,0.8114521550167951,0,0.027681350982954163,0,1
1081,0,-0.45655896559974946,0.0,0,0.204854349002092,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,1
1030,1,0.4418877859505725,0.0,0,1.1741510568509737,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,1,0
9040,0,-0.3891754592334753,0.0,0,1.0664514226455424,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,1
8940,1,0.7900359021763222,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.09312202570131209,0,1
8300,0,-1.186546951234386,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,1
9100,1,0.217276098062992,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,0.15960160282221425,1,1
2950,0,-0.9956270165299427,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,0,1
1300,0,-0.22071669331778995,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,0,1
2000,0,0.5878853830774998,0.0,0,0.09715471479666071,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,1,0
3200,0,-0.7485541598536041,0.0,0,-0.11824455361420189,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,0
