link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,price_per_sqm
https://www.immoweb.be/en/classified/house/for-sale/hornu/7301/20371087,20371087,HORNU,7301,165000,HOUSE,HOUSE,120.0,0.0,0,18.0,0.0,2.0,0,168.0,INSTALLED,GOOD,FOR_SALE,1375.0
https://www.immoweb.be/en/classified/apartment/for-sale/borsbeek/2150/20389863,20389863,BORSBEEK,2150,299000,APARTMENT,APARTMENT,103.0,0.0,0,0.0,0.0,2.0,0,0.0,INSTALLED,JUST_RENOVATED,FOR_SALE,2902.9126213592235
https://www.immoweb.be/en/classified/house/for-sale/aarschot/3200/20384883,20384883,AARSCHOT,3200,310000,HOUSE,HOUSE,170.0,0.0,0,0.0,0.0,0.0,0,1057.0,UNKNOWN,TO_RENOVATE,FOR_SALE,1823.5294117647059
https://www.immoweb.be/en/classified/apartment/for-sale/montegnee/4420/20123100,20123100,MONTEGNÉE,4420,168651,APARTMENT,APARTMENT,54.0,0.0,0,14.0,0.0,2.0,0,0.0,INSTALLED,AS_NEW,FOR_SALE,3123.1666666666665
https://www.immoweb.be/en/classified/house/for-sale/zaventem%20nossegem/1930/20379457,20379457,Zaventem Nossegem,1930,425000,HOUSE,HOUSE,243.0,0.0,0,110.0,385.0,3.0,0,573.0,INSTALLED,GOOD,FOR_SALE,1748.9711934156378
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20273428,20273428,Ronse,9600,239000,HOUSE,HOUSE,165.0,0.0,0,30.0,351.0,3.0,0,674.0,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,1448.4848484848485
https://www.immoweb.be/en/classified/house/for-sale/ooigem/8710/20384248,20384248,Ooigem,8710,215000,HOUSE,HOUSE,179.0,0.0,0,20.0,250.0,2.0,0,252.0,INSTALLED,GOOD,FOR_SALE,1201.1173184357542
https://www.immoweb.be/en/classified/house/for-sale/flemalle-haute/4400/20163852,20163852,FLÉMALLE-HAUTE,4400,155000,HOUSE,HOUSE,108.0,0.0,0,10.0,100.0,2.0,0,186.0,NOT_INSTALLED,TO_RENOVATE,FOR_SALE,1435.1851851851852
https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20359818,20359818,Heist-aan-Zee,8301,435000,APARTMENT,APARTMENT,95.0,0.0,0,10.0,0.0,0.0,0,0.0,INSTALLED,GOOD,FOR_SALE,4578.9473684210525
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20367915,20367915,Gent,9000,325000,APARTMENT,APARTMENT,69.0,0.0,0,25.0,30.0,0.0,0,0.0,UNKNOWN,JUST_RENOVATED,FOR_SALE,4710.144927536232
https://www.immoweb.be/en/classified/house/for-sale/schelle/2627/20360075,20360075,SCHELLE,2627,419000,HOUSE,HOUSE,183.0,0.0,1,0.0,88.0,3.0,0,219.0,INSTALLED,JUST_RENOVATED,FOR_SALE,2289.617486338798
https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20384635,20384635,Schaerbeek,1030,315000,HOUSE,HOUSE,90.0,0.0,0,0.0,0.0,0.0,0,0.0,UNKNOWN,TO_RENOVATE,FOR_SALE,3500.0
https://www.immoweb.be/en/classified/house/for-sale/buggenhout/9255/11088686,11088686,Buggenhout,9255,593363,HOUSE,HOUSE,205.0,0.0,0,0.0,0.0,0.0,0,479.0,HYPER_EQUIPPED,GOOD,FOR_SALE,2894.4536585365854
https://www.immoweb.be/en/classified/apartment/for-sale/saint-georges-sur-meuse/4470/20281456,20281456,Saint-Georges-sur-Meuse,4470,485000,APARTMENT,APARTMENT,153.0,0.0,0,23.0,0.0,4.0,0,0.0,INSTALLED,UNKNOWN,FOR_SALE,3169.9346405228757
