link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20359060,20359060,Westende,8434,395000.0,APARTMENT,APARTMENT,81.0,,0,null,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/wondelgem/9032/20332470,20332470,Wondelgem,9032,179000.0,APARTMENT,APARTMENT,75.0,0.0,0,null,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/seneffe/7180/20373640,20373640,Seneffe,7180,395000.0,HOUSE,HOUSE,240.0,0.0,0,,null,3.0,0,860,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/11176238,11176238,Lier,2500,149900.0,APARTMENT,APARTMENT,67.0,0.0,0,1,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/20383837,20383837,Gavere,9890,382150.0,APARTMENT,APARTMENT,126.0,0.0,0,11,null,4.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/20375736,20375736,Assebroek,8310,339000.0,HOUSE,HOUSE,,0.0,0,,null,0.0,0,0,null,null,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/meldert%20%289310%29/9310/20163136,20163136,Meldert (9310),9310,534076.0,HOUSE,HOUSE,170.0,,0,null,null,,0,487,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20357451,20357451,Antwerpen,2018,369000.0,APARTMENT,APARTMENT,83.0,0.0,0,22,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20385035,20385035,Antwerpen,2000,245000.0,APARTMENT,APARTMENT,56.0,,0,null,null,1.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/warisoulx/5080/20388409,20388409,Warisoulx,5080,299000.0,HOUSE,HOUSE,142.0,0.0,1,30,null,3.0,0,250,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20383441,20383441,Aalst (9300),9300,439000.0,APARTMENT,APARTMENT,133.0,0.0,0,19,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/20369145,20369145,SERAING,4100,299900.0,APARTMENT,APARTMENT,107.0,,0,24,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20388030,20388030,Lier,2500,299000.0,APARTMENT,APARTMENT,92.0,,0,8,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20374525,20374525,Heist-aan-Zee,8301,775000.0,APARTMENT,APARTMENT,83.0,0.0,0,,null,,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20370728,20370728,GENT,9000,315000.0,HOUSE,HOUSE,150.0,,0,15,60,2.0,0,132,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20196674,20196674,IXELLES,1050,215000.0,APARTMENT,APARTMENT,55.0,0.0,0,null,null,2.0,0,null,USA_SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/zelzate/9060/20388543,20388543,Zelzate,9060,155000.0,APARTMENT,APARTMENT,109.0,,0,null,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20384519,20384519,MOL,2400,357000.0,HOUSE,HOUSE,124.0,,0,,null,3.0,0,441,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20335031,20335031,Oostende,8400,169500.0,APARTMENT,APARTMENT,91.0,0.0,0,3,null,,0,null,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20358606,20358606,Wilrijk,2610,249000.0,APARTMENT,APARTMENT,112.0,,0,3,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20387167,20387167,KORTRIJK,8500,215000.0,HOUSE,HOUSE,,,0,,null,2.0,0,72,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20095446,20095446,Knokke-Heist,8300,530000.0,APARTMENT,APARTMENT,91.0,,0,4,null,2.0,0,null,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20379972,20379972,Roeselare,8800,467550.0,APARTMENT,APARTMENT,123.0,,0,37,null,,0,null,null,GOOD,FOR_SALE
