link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20380868,20380868,Anderlecht,1070,255000.0,APARTMENT,APARTMENT,88.0,,1,8,null,,0,null,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20071024,20071024,Destelbergen,9070,398000.0,HOUSE,HOUSE,221.0,0.0,0,25,170,,0,245,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/20374823,20374823,Bruxelles,1000,550000.0,HOUSE,HOUSE,248.0,0.0,0,,53,2.0,0,111,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/meldert%20%289310%29/9310/20384678,20384678,Meldert (9310),9310,369000.0,HOUSE,HOUSE,278.0,1.0,0,75,null,,0,290,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/asse/1730/20381828,20381828,Asse,1730,178000.0,HOUSE,HOUSE,220.0,0.0,0,21,null,3.0,0,141,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20088346,20088346,Mol,2400,309000.0,HOUSE,HOUSE,211.0,,0,null,null,4.0,0,1540,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/20381089,20381089,Ingelmunster,8770,569577.0,HOUSE,HOUSE,165.0,,0,null,null,,0,1591,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9040/20388112,20388112,Gent,9040,369500.0,APARTMENT,APARTMENT,88.0,,0,13,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/braine-le-comte%20%28braine-le-comte%29/7090/20378640,20378640,Braine-Le-Comte (Braine-le-Comte),7090,349000.0,HOUSE,HOUSE,122.0,0.0,0,null,null,2.0,0,327,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/poperinge/8970/20387141,20387141,Poperinge,8970,168000.0,APARTMENT,APARTMENT,90.0,,0,,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mons/7012/20371181,20371181,Mons,7012,109000.0,HOUSE,HOUSE,110.0,,0,null,null,2.0,0,0,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20186005,20186005,Woluwe-Saint-Pierre,1150,750000.0,HOUSE,HOUSE,240.0,0.0,0,null,15,2.0,0,0,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mons/7000/20382291,20382291,Mons,7000,235000.0,APARTMENT,APARTMENT,85.0,,0,,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20369229,20369229,Gent,9000,795000.0,HOUSE,HOUSE,347.0,,0,null,57,4.0,0,170,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/liege/4031/20164254,20164254,Liège,4031,115000.0,HOUSE,HOUSE,105.0,0.0,0,60,25,2.0,0,110,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/aarschot/3200/20381641,20381641,Aarschot,3200,198000.0,APARTMENT,APARTMENT,48.0,0.0,0,null,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20378277,20378277,Oudenaarde,9700,445000.0,HOUSE,HOUSE,150.0,0.0,0,,null,3.0,0,317,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ath/7800/11454521,11454521,Ath,7800,234000.0,APARTMENT,APARTMENT,,,0,null,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/menen/8930/20082770,20082770,Menen,8930,159000.0,HOUSE,HOUSE,142.0,,0,null,null,2.0,0,126,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/merksem/2170/20357368,20357368,Merksem,2170,299000.0,HOUSE,HOUSE,117.0,,0,null,null,2.0,0,73,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/20012138,20012138,Turnhout,2300,225000.0,HOUSE,HOUSE,141.0,,0,,null,2.0,0,143,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berchem/2600/20338818,20338818,Berchem,2600,395000.0,HOUSE,HOUSE,140.0,,0,,50,2.0,0,135,SEMI_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/wezembeek-oppem/1970/20380374,20380374,Wezembeek-Oppem,1970,570000.0,APARTMENT,APARTMENT,157.0,0.0,0,10,null,3.0,0,null,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tilff/4130/20389154,20389154,TILFF,4130,230000.0,APARTMENT,APARTMENT,96.0,,0,,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zwijnaarde/9052/20218206,20218206,Zwijnaarde,9052,369000.0,HOUSE,HOUSE,140.0,,0,,null,,0,742,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20377338,20377338,Antwerpen,2100,219000.0,APARTMENT,APARTMENT,105.0,,0,null,null,,0,null,null,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20379298,20379298,MORTSEL,2640,369000.0,APARTMENT,APARTMENT,122.0,,0,6,35,,0,null,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/puurs-sint-amands/2870/20331023,20331023,PUURS-SINT-AMANDS,2870,339000.0,HOUSE,HOUSE,153.0,,0,,null,,0,473,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/deurne%20%282100%29/2100/20371697,20371697,Deurne (2100),2100,305000.0,APARTMENT,APARTMENT,92.0,,0,null,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/olen/2250/20359172,20359172,OLEN,2250,495000.0,HOUSE,HOUSE,184.0,,0,null,null,4.0,0,1109,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/sint-maria-oudenhove/9620/20326543,20326543,SINT-MARIA-OUDENHOVE,9620,595000.0,HOUSE,HOUSE,264.0,,1,,null,,0,644,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tubize/1480/20179072,20179072,Tubize,1480,430000.0,HOUSE,HOUSE,203.0,0.0,0,,532,4.0,0,645,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/11410316,11410316,Eeklo,9900,298000.0,HOUSE,HOUSE,119.0,0.0,0,null,null,,0,831,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/20389013,20389013,Bruxelles,1000,650000.0,HOUSE,HOUSE,365.0,,0,17,null,2.0,0,136,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/11413433,11413433,Lessines,7860,192000.0,HOUSE,HOUSE,106.0,,0,,null,3.0,0,0,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20376943,20376943,MECHELEN,2800,285000.0,APARTMENT,APARTMENT,93.0,,0,null,null,4.0,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20368496,20368496,Seraing,4100,329000.0,HOUSE,HOUSE,,,0,15,null,3.0,0,163,null,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zwalm/9630/20103388,20103388,Zwalm,9630,387000.0,HOUSE,HOUSE,101.0,0.0,0,null,null,3.0,0,265,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/20375086,20375086,Vilvoorde,1800,340000.0,HOUSE,HOUSE,109.0,0.0,0,,105,2.0,0,161,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/20387011,20387011,Dendermonde,9200,225000.0,HOUSE,HOUSE,102.0,,0,,67,2.0,0,139,null,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/20323794,20323794,TURNHOUT,2300,259000.0,HOUSE,HOUSE,160.0,,0,null,null,3.0,0,99,SEMI_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grimbergen/1850/10885806,10885806,Grimbergen,1850,665294.0,HOUSE,HOUSE,225.0,,0,null,null,,0,364,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wommelgem/2160/20375430,20375430,Wommelgem,2160,589000.0,HOUSE,HOUSE,190.0,,0,null,null,3.0,0,372,null,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/blaasveld/2830/20371243,20371243,BLAASVELD,2830,619000.0,HOUSE,HOUSE,280.0,,0,28,null,3.0,0,291,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/sint-katelijne-waver/2860/20309695,20309695,SINT-KATELIJNE-WAVER,2860,570000.0,HOUSE,HOUSE,395.0,,0,8,3813,,0,4043,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20340736,20340736,Maldegem,9990,419313.0,HOUSE,HOUSE,165.0,0.0,0,null,null,2.0,0,303,INSTALLED,GOOD,FOR_SALE
