link,property_id,locality_name,postal_code,latitude,longitude,price,type_of_property,subtype_of_property,construction_year,living_area,bedrooms,nr_bathrooms,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/20388799,20388799,Turnhout,2300,51.3155764,4.9485429,205000,APARTMENT,APARTMENT,1974,106.0,3,1.0,0.0,0,,null,2.0,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20059421,20059421,Gent,9000,51.0588316,3.7046453,325000,HOUSE,HOUSE,1850,125.0,2,1.0,,0,2,null,4.0,0,77,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/jemappes/7012/20013544,20013544,Jemappes,7012,50.4472469,3.8949043,115000,APARTMENT,APARTMENT,null,59.0,1,1.0,0.0,0,null,null,0.0,0,null,null,null,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20379379,20379379,Antwerpen,2000,51.22459139999999,4.4121621,245000,APARTMENT,APARTMENT,1968,58.0,1,1.0,,0,15,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/nijlen/2560/20390264,20390264,Nijlen,2560,51.1640026,4.6619345,189000,HOUSE,HOUSE,1936,110.0,2,,,0,null,null,4.0,0,605,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/20401831,20401831,Hooglede,8830,50.9703665,3.1079974,306500,HOUSE,HOUSE,2020,,3,1.0,,0,null,null,3.0,0,29091,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/20398657,20398657,Turnhout,2300,51.3190511,4.9328033,279000,HOUSE,HOUSE,,180.0,3,1.0,,0,,100,3.0,0,171,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/burcht/2070/20359047,20359047,Burcht,2070,51.205334,4.3436414,285000,APARTMENT,APARTMENT,1998,114.0,2,1.0,,0,,null,,0,null,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20388467,20388467,Mechelen,2800,51.0298435,4.4774638,775000,HOUSE,HOUSE,1850,284.0,3,2.0,,0,30,null,2.0,0,0,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/broechem/2520/20058088,20058088,Broechem,2520,51.1817353,4.5997321,310000,APARTMENT,APARTMENT,2014,90.0,2,1.0,,0,null,null,2.0,0,null,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gooik/1755/20387465,20387465,GOOIK,1755,50.7918472,4.0817116,349000,APARTMENT,APARTMENT,2023,90.0,2,1.0,,0,,null,2.0,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kuurne/8520/20382198,20382198,Kuurne,8520,50.8455962,3.2793816,325000,HOUSE,HOUSE,,164.0,3,1.0,,0,null,null,2.0,0,249,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tremelo/3120/20401109,20401109,TREMELO,3120,50.9954412,4.7063871,319000,HOUSE,HOUSE,1956,185.0,3,1.0,,0,20,260,,0,500,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/seneffe/7180/20396228,20396228,SENEFFE,7180,,,317000,APARTMENT,APARTMENT,,96.0,1,2.0,,0,null,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20402104,20402104,Antwerpen,2020,51.1935981,4.3913202,299000,APARTMENT,APARTMENT,,64.0,1,0.0,,0,,93,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20282670,20282670,Aalst (9300),9300,50.9437334,4.036721,249000,APARTMENT,APARTMENT,1979,82.0,3,1.0,0.0,0,,null,2.0,0,null,null,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20039580,20039580,SINT-NIKLAAS,9100,51.1784631,4.1482795,397000,HOUSE,HOUSE,1959,191.0,4,1.0,,0,15,null,4.0,0,1468,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/fl%C3%A9ron/4620/20389156,20389156,Fléron,4620,50.61734449999999,5.696726399999999,299000,HOUSE,HOUSE,2001,131.0,4,1.0,0.0,1,40,660,3.0,0,993,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/laplaigne/7622/20388934,20388934,LAPLAIGNE,7622,50.5311873,3.4678275,150000,HOUSE,HOUSE,,124.0,2,0.0,,0,null,360,3.0,0,600,null,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2660/20398676,20398676,ANTWERPEN,2660,51.186165,4.3699661,179000,APARTMENT,APARTMENT,1968,90.0,2,1.0,,0,6,null,4.0,0,null,null,TO_BE_DONE_UP,FOR_SALE
