postal_code,type_of_property,construction_year,living_area,bedrooms,nr_bathrooms,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
9032,0,0.0,-0.43820224719101125,-1.0,0.0,0,0,-2.3893533707270613,0.0,0.0,0,0.0,0,1
2340,1,-0.21665676379787893,0.2808988764044944,0.0,1.0,0,0,0.0,0.0,1.4102378365326573,0,0.6830698661220704,4,2
4000,1,-1.1476912465564997,0.16853932584269662,0.0,0.0,0,0,-6.557413482908244,-131.3868530411787,-0.5897621634673427,0,-0.7381891319365669,1,0
1420,1,-0.04424297069443065,0.07865168539325842,1.0,0.0,0,0,-6.094295692665891,-346.3868530411787,-0.5897621634673427,0,-1.3740155258049045,4,2
8750,1,0.0,0.4157303370786517,0.0,0.0,0,0,0.0,0.0,0.0,0,-0.12480366961652338,1,1
9000,0,0.9557570293055694,-0.7303370786516854,-2.0,0.0,0,0,-6.557413482908244,0.0,-0.5897621634673427,0,0.0,4,1
8420,0,0.5764466844779832,-0.5955056179775281,-1.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0
7100,1,-0.8028636603496031,-0.12359550561797752,0.0,1.0,0,0,0.0,438.6131469588213,-0.5897621634673427,0,1.139368807604054,4,1
8301,0,0.5074811672366039,-0.3707865168539326,0.0,0.0,0,0,0.0,0.0,1.4102378365326573,0,0.0,0,0
2660,0,-0.14769124655649962,-0.4606741573033708,-1.0,0.0,0,0,-4.241824531696476,0.0,0.0,0,0.0,3,1
8300,0,-0.21665676379787893,-0.651685393258427,-1.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,1
2140,0,0.12817082240901762,-0.0898876404494382,0.0,0.0,1,0,-8.40988464387766,0.0,0.41023783653265733,0,0.0,0,0
9810,1,0.0,0.8651685393258427,1.0,0.0,0,0,0.0,0.0,0.0,0,-1.4338580099336893,0,1
6040,1,-2.5614843500047755,-0.3146067415730337,0.0,0.0,0,0,11.967298126785904,27.61314695882129,0.41023783653265733,0,-0.3716539166477604,0,0
2560,1,0.0,-0.30337078651685395,-1.0,0.0,0,0,0.0,0.0,-0.5897621634673427,0,-1.294225546966525,0,1
9550,1,0.0,3.067415730337079,2.0,0.0,0,0,2.7049423219388298,1168.6131469588213,0.0,0,3.1765067048214344,0,1
8200,1,0.0,,0.0,0.19844324694209226,0,0,0.0,0.0,0.0,0,-1.2568239943860344,3,0
1790,1,0.0,1.1235955056179776,0.0,0.0,0,0,0.0,0.0,0.0,0,-0.3566932956155642,1,1
2070,1,0.0,1.5842696629213484,0.0,0.0,0,1,2.7049423219388298,-277.3868530411787,0.41023783653265733,0,-1.1321521524510663,0,0
9000,0,-0.28562228103925824,-0.4044943820224719,-1.0,0.0,0,0,0.0,0.0,-0.5897621634673427,0,0.0,0,1
2180,1,-0.5270015913840859,1.0224719101123596,3.0,0.0,0,0,0.0,0.0,0.41023783653265733,0,-1.0448818630965886,0,4
8620,0,0.09368806378832797,-0.7640449438202247,-1.0,0.0,1,0,-8.873002434120012,0.0,-0.5897621634673427,0,0.0,4,4
9473,1,-0.45803607414270653,0.5056179775280899,0.0,0.0,0,0,0.0,-231.3868530411787,0.41023783653265733,0,-1.748031051609809,0,1
1090,0,0.9212742706848797,-0.449438202247191,-1.0,0.0,0,0,-9.336120224362366,0.0,0.0,0,0.0,1,0
2060,1,-2.5614843500047755,0.30337078651685395,1.0,1.0,0,0,0.0,0.0,0.0,0,-1.630839520190939,0,1
9080,1,0.0,0.4606741573033708,0.0,0.0,0,0,0.0,0.0,0.0,0,1.1593163023136488,1,1
4041,1,0.0,0.0,0.0,-1.0,0,0,6.4098846438776595,-126.38685304117871,-0.5897621634673427,0,-0.6858269583238802,0,1
